period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1B,ทวีปยุโรป,122520093.0,2066211.0
2021-01,2021,1,1,1A,ทวีปเอเชีย,94923113.0,2178682.0
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,21023986.0,409936.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,8347961.0,181221.0
2021-01,2021,1,1,1E,ทวีปแอฟริกา,3036015.0,46617.0
2021-01,2021,1,1,1D,ทวีปอเมริกาใต้,1986680.0,34974.0
2021-02,2021,2,1,1B,ทวีปยุโรป,136684722.0,2325041.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,32824397.0,623678.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,86407209.0,1956169.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,9958857.0,179092.0
2021-02,2021,2,1,1E,ทวีปแอฟริกา,1675708.0,21688.0
2021-02,2021,2,1,1D,ทวีปอเมริกาใต้,366558.0,4560.0
2021-03,2021,3,1,1B,ทวีปยุโรป,204576097.0,3170894.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,18677098.0,337631.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,106639961.0,2441629.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,10562746.0,215785.0
2021-03,2021,3,1,1E,ทวีปแอฟริกา,4337855.0,54999.0
2021-03,2021,3,1,1D,ทวีปอเมริกาใต้,1357784.0,21552.0
2021-04,2021,4,2,1B,ทวีปยุโรป,177390756.0,2749063.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,21517736.0,395711.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,76041771.0,1588367.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,7495437.0,113301.0
2021-04,2021,4,2,1E,ทวีปแอฟริกา,3115500.0,63259.0
2021-04,2021,4,2,1D,ทวีปอเมริกาใต้,2263452.0,35909.0
2021-05,2021,5,2,1B,ทวีปยุโรป,196885880.0,3300618.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,30483980.0,604988.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,99629705.0,1976227.0
2021-05,2021,5,2,1F,ทวีปออสเตรเลีย,16486809.0,339093.0
2021-05,2021,5,2,1E,ทวีปแอฟริกา,2300379.0,30556.0
2021-05,2021,5,2,1D,ทวีปอเมริกาใต้,854279.0,6593.0
2021-06,2021,6,2,1B,ทวีปยุโรป,208430120.0,3327671.0
2021-06,2021,6,2,1C,ทวีปอเมริกาเหนือ,46729248.0,881606.0
2021-06,2021,6,2,1A,ทวีปเอเชีย,89800430.0,1865040.0
2021-06,2021,6,2,1F,ทวีปออสเตรเลีย,10076145.0,171683.0
2021-06,2021,6,2,1E,ทวีปแอฟริกา,6347665.0,82526.0
2021-06,2021,6,2,1D,ทวีปอเมริกาใต้,553915.0,10538.0
2021-07,2021,7,3,1B,ทวีปยุโรป,174663488.0,2856473.0
2021-07,2021,7,3,1C,ทวีปอเมริกาเหนือ,28703241.0,510865.0
2021-07,2021,7,3,1A,ทวีปเอเชีย,66046227.0,1404999.0
2021-07,2021,7,3,1F,ทวีปออสเตรเลีย,11770221.0,243648.0
2021-07,2021,7,3,1E,ทวีปแอฟริกา,2269771.0,34284.0
2021-07,2021,7,3,1D,ทวีปอเมริกาใต้,1288711.0,14876.0
2021-08,2021,8,3,1B,ทวีปยุโรป,174565170.0,2723641.0
2021-08,2021,8,3,1C,ทวีปอเมริกาเหนือ,34208299.0,634670.0
2021-08,2021,8,3,1A,ทวีปเอเชีย,88395818.0,1825908.0
2021-08,2021,8,3,1F,ทวีปออสเตรเลีย,14823738.0,323338.0
2021-08,2021,8,3,1E,ทวีปแอฟริกา,367375.0,7118.0
2021-08,2021,8,3,1D,ทวีปอเมริกาใต้,1536544.0,24176.0
2021-09,2021,9,3,1B,ทวีปยุโรป,191490757.0,3056012.0
2021-09,2021,9,3,1C,ทวีปอเมริกาเหนือ,67723514.0,1152773.0
2021-09,2021,9,3,1A,ทวีปเอเชีย,150022087.0,2734397.0
2021-09,2021,9,3,1F,ทวีปออสเตรเลีย,10935315.0,214390.0
2021-09,2021,9,3,1E,ทวีปแอฟริกา,6996665.0,96887.0
2021-09,2021,9,3,1D,ทวีปอเมริกาใต้,1973748.0,27571.0
2021-10,2021,10,4,1B,ทวีปยุโรป,246999829.0,4089167.0
2021-10,2021,10,4,1C,ทวีปอเมริกาเหนือ,77152148.0,1333075.0
2021-10,2021,10,4,1A,ทวีปเอเชีย,153436163.0,2763886.0
2021-10,2021,10,4,1F,ทวีปออสเตรเลีย,23465488.0,282435.0
