period,year,month,quarter,countryId,countryCode,countryName,continentId,continentName,value,quantity
2021-01,2021,1,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,29235587.0,333357.0
2021-01,2021,1,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,20530433.0,340894.0
2021-01,2021,1,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,17903481.0,345865.0
2021-01,2021,1,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,13711013.0,278934.0
2021-01,2021,1,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,13482345.0,508295.0
2021-01,2021,1,1,327,SE,สวีเดน,1B,ทวีปยุโรป,13191469.0,320630.0
2021-01,2021,1,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,12686353.0,228969.0
2021-01,2021,1,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,8254014.0,151509.0
2021-01,2021,1,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,7802168.0,152748.0
2021-01,2021,1,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,7467451.0,229126.0
2021-01,2021,1,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,7368953.0,160599.0
2021-01,2021,1,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,7091476.0,117966.0
2021-01,2021,1,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,6726133.0,110991.0
2021-01,2021,1,1,288,IL,อิสราเอล,1A,ทวีปเอเชีย,6725191.0,195851.0
2021-01,2021,1,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,6081791.0,155223.0
2021-01,2021,1,1,343,PL,โปแลนด์,1B,ทวีปยุโรป,4704616.0,70826.0
2021-01,2021,1,1,366,NO,นอร์เวย์,1B,ทวีปยุโรป,4516326.0,64985.0
2021-01,2021,1,1,271,MY,มาเลเซีย,1A,ทวีปเอเชีย,4513526.0,82794.0
2021-01,2021,1,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,4361847.0,107859.0
2021-01,2021,1,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,3972111.0,69576.0
2021-01,2021,1,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,3677503.0,58927.0
2021-01,2021,1,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,3594610.0,54367.0
2021-01,2021,1,1,323,IT,อิตาลี,1B,ทวีปยุโรป,3481959.0,62850.0
2021-01,2021,1,1,298,TR,ตุรกี,1A,ทวีปเอเชีย,3459381.0,49668.0
2021-01,2021,1,1,302,CN,จีน,1A,ทวีปเอเชีย,3173413.0,55888.0
2021-01,2021,1,1,296,SA,ซาอุดีอาระเบีย,1A,ทวีปเอเชีย,2840551.0,61612.0
2021-01,2021,1,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,2377180.0,41308.0
2021-01,2021,1,1,318,FI,ฟินแลนด์,1B,ทวีปยุโรป,1979444.0,42121.0
2021-01,2021,1,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,1893881.0,18698.0
2021-01,2021,1,1,317,ES,สเปน,1B,ทวีปยุโรป,1800040.0,23146.0
2021-01,2021,1,1,279,IN,อินเดีย,1A,ทวีปเอเชีย,1592074.0,33666.0
2021-01,2021,1,1,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,1496471.0,32974.0
2021-01,2021,1,1,321,GR,กรีซ,1B,ทวีปยุโรป,1443653.0,24821.0
2021-01,2021,1,1,365,MT,มอลตา,1B,ทวีปยุโรป,1369658.0,33160.0
2021-01,2021,1,1,266,BN,บรูไน,1A,ทวีปเอเชีย,1345435.0,22560.0
2021-01,2021,1,1,312,AT,ออสเตรีย,1B,ทวีปยุโรป,1336143.0,30736.0
2021-01,2021,1,1,478,ZA,แอฟริกาใต้,1E,ทวีปแอฟริกา,1239348.0,15661.0
2021-01,2021,1,1,409,BR,บราซิล,1D,ทวีปอเมริกาใต้,1192420.0,21120.0
2021-01,2021,1,1,292,KW,คูเวต,1A,ทวีปเอเชีย,1173373.0,11753.0
2021-01,2021,1,1,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,1172981.0,18764.0
2021-01,2021,1,1,287,CY,ไซปรัส,1A,ทวีปเอเชีย,1136521.0,23833.0
2021-01,2021,1,1,437,EG,อียิปต์,1E,ทวีปแอฟริกา,1054103.0,21234.0
2021-01,2021,1,1,363,LV,ลัตเวีย,1B,ทวีปยุโรป,892069.0,17412.0
2021-01,2021,1,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,817197.0,15221.0
2021-01,2021,1,1,277,BD,บังกลาเทศ,1A,ทวีปเอเชีย,811115.0,12882.0
2021-01,2021,1,1,389,HN,ฮอนดูรัส,1C,ทวีปอเมริกาเหนือ,501575.0,11306.0
2021-01,2021,1,1,420,SR,ซูรินาเม,1D,ทวีปอเมริกาใต้,412727.0,8834.0
