period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,251837848.0,4917641.0,251837848.0,4917641.0
2021-02,2021,2,1,267917451.0,5110228.0,519755299.0,10027869.0
2021-03,2021,3,1,346151541.0,6242490.0,865906840.0,16270359.0
2021-04,2021,4,2,287824652.0,4945610.0,1153731492.0,21215969.0
2021-05,2021,5,2,346641032.0,6258075.0,1500372524.0,27474044.0
2021-06,2021,6,2,361937523.0,6339064.0,1862310047.0,33813108.0
2021-07,2021,7,3,284741659.0,5065145.0,2147051706.0,38878253.0
2021-08,2021,8,3,313896944.0,5538851.0,2460948650.0,44417104.0
2021-09,2021,9,3,429142086.0,7282030.0,2890090736.0,51699134.0
2021-10,2021,10,4,507301770.0,8560556.0,3397392506.0,60259690.0
2021-11,2021,11,4,490954816.0,8247950.0,3888347322.0,68507640.0
2021-12,2021,12,4,509405487.0,9084598.0,4397752809.0,77592238.0
2022-01,2022,1,1,470589174.0,8243806.0,470589174.0,8243806.0
2022-02,2022,2,1,479977839.0,8445109.0,950567013.0,16688915.0
2022-03,2022,3,1,498417296.0,8768200.0,1448984309.0,25457115.0
2022-04,2022,4,2,416622851.0,6984790.0,1865607160.0,32441905.0
2022-05,2022,5,2,435982609.0,7238051.0,2301589769.0,39679956.0
2022-06,2022,6,2,461225425.0,7720384.0,2762815194.0,47400340.0
2022-07,2022,7,3,440602679.0,7172283.0,3203417873.0,54572623.0
2022-08,2022,8,3,495491250.0,7588677.0,3698909123.0,62161300.0
2022-09,2022,9,3,445142049.0,6869537.0,4144051172.0,69030837.0
2022-10,2022,10,4,397590034.0,6248542.0,4541641206.0,75279379.0
2022-11,2022,11,4,417298899.0,6158995.0,4958940105.0,81438374.0
2022-12,2022,12,4,419586623.0,6733380.0,5378526728.0,88171754.0
2023-01,2023,1,1,331005470.0,5447777.0,331005470.0,5447777.0
2023-02,2023,2,1,416790212.0,6859189.0,747795682.0,12306966.0
2023-03,2023,3,1,471406498.0,7368277.0,1219202180.0,19675243.0
2023-04,2023,4,2,419578873.0,6632299.0,1638781053.0,26307542.0
2023-05,2023,5,2,565854608.0,8859011.0,2204635661.0,35166553.0
2023-06,2023,6,2,608313520.0,8980799.0,2812949181.0,44147352.0
2023-07,2023,7,3,683965419.0,10309831.0,3496914600.0,54457183.0
2023-08,2023,8,3,719893049.0,10716954.0,4216807649.0,65174137.0
2023-09,2023,9,3,755500989.0,10793667.0,4972308638.0,75967804.0
2023-10,2023,10,4,725468475.0,10538919.0,5697777113.0,86506723.0
2023-11,2023,11,4,703872234.0,10180634.0,6401649347.0,96687357.0
2023-12,2023,12,4,619649168.0,9627661.0,7021298515.0,106315018.0
2024-01,2024,1,1,631300113.0,9550917.0,631300113.0,9550917.0
2024-02,2024,2,1,583972061.0,8781752.0,1215272174.0,18332669.0
2024-03,2024,3,1,598681530.0,9163386.0,1813953704.0,27496055.0
2024-04,2024,4,2,564101430.0,8078431.0,2378055134.0,35574486.0
2024-05,2024,5,2,632796226.0,8956394.0,3010851360.0,44530880.0
2024-06,2024,6,2,571981093.0,8431746.0,3582832453.0,52962626.0
2024-07,2024,7,3,665690644.0,9688770.0,4248523097.0,62651396.0
2024-08,2024,8,3,619515818.0,9124136.0,4868038915.0,71775532.0
2024-09,2024,9,3,610958243.0,9526183.0,5478997158.0,81301715.0
2024-10,2024,10,4,535532473.0,8147129.0,6014529631.0,89448844.0
2024-11,2024,11,4,525345394.0,8251183.0,6539875025.0,97700027.0
2024-12,2024,12,4,566555949.0,8380191.0,7106430974.0,106080218.0
2025-01,2025,1,1,501284963.0,8002603.0,501284963.0,8002603.0
2025-02,2025,2,1,546176802.0,8289053.0,1047461765.0,16291656.0
2025-03,2025,3,1,589159325.0,8951186.0,1636621090.0,25242842.0
2025-04,2025,4,2,548749558.0,7930856.0,2185370648.0,33173698.0
2025-05,2025,5,2,571832439.0,8870196.0,2757203087.0,42043894.0
2025-06,2025,6,2,515031281.0,7640849.0,3272234368.0,49684743.0
2025-07,2025,7,3,547677888.0,8415563.0,3819912256.0,58100306.0
2025-08,2025,8,3,556387880.0,8231894.0,4376300136.0,66332200.0
2025-09,2025,9,3,531104212.0,8359447.0,4907404348.0,74691647.0
2025-10,2025,10,4,556145119.0,8948522.0,5463549467.0,83640169.0
2025-11,2025,11,4,519893894.0,8065417.0,5983443361.0,91705586.0
2025-12,2025,12,4,583749310.0,9347892.0,6567192671.0,101053478.0
2026-01,2026,1,1,515819931.0,8645079.0,515819931.0,8645079.0
2026-02,2026,2,1,549091662.0,8744665.0,1064911593.0,17389744.0
2026-03,2026,3,1,596253505.0,9402237.0,1661165098.0,26791981.0
2026-04,2026,4,2,547969835.0,8183963.0,2209134933.0,34975944.0
2026-05,2026,5,2,608232932.0,8929690.0,2817367865.0,43905634.0
